certification_course,gender,department,height_cm,weight_kg,10th_mark,12th_mark,college_mark,daily_studing_time,prefer_to_study_in,salary_expectation,do_you_like_your_degree,willingness_to_pursue_a_career_based_on_their_degree,social_medai_video,travelling_time,stress_level,financial_status,part_time_job,bmi,academic_average
0,Male,BCA,0.5093333333333333,0.4418604651162791,79.0,64.0,80.0,0 - 30 minute,Morning,6.0,0,50%,1.30 - 2 hour,,,Bad,0,0.002351235155808209,0.6525911708253358
0,Female,BCA,0.45599999999999996,0.23255813953488372,70.0,80.0,70.0,30 - 60 minute,Morning,6.0,1,75%,1 - 1.30 hour,,,Bad,0,0.0019355734793694258,0.6333973128598847
1,Male,BCA,0.824,0.6744186046511628,71.0,61.0,55.0,1 - 2 Hour,Anytime,6.0,1,50%,More than 2 hour,,,Bad,0,0.0010417877314174838,0.4222648752399232
1,Female,BCA,0.7599999999999999,0.0,70.0,59.0,58.0,1 - 2 Hour,Anytime,6.0,0,50%,1.30 - 2 hour,,,good,0,0.0,0.4222648752399232
0,Male,BCA,0.8826666666666666,0.39534883720930236,40.0,65.0,30.0,30 - 60 minute,Morning,6.0,1,25%,1.30 - 2 hour,,,good,0,0.0004548501041852149,0.08957133717210486
1,Female,BCA,0.7173333333333333,0.15116279069767444,90.0,75.0,70.0,30 - 60 minute,Night,6.0,1,50%,30 - 60 Minute,,,good,0,0.0003774190957321738,0.7293666026871399
1,Male,BCA,0.856,0.34883720930232565,70.0,63.0,3.0,1 - 2 Hour,Morning,6.0,1,75%,1 - 1.30 hour,,,good,0,0.0004394316143313003,0.09596928982725528
0,Male,BCA,0.7866666666666666,0.2674418604651163,61.6,61.67,75.0,1 - 2 Hour,Morning,6.0,1,50%,1 - 1.30 hour,,,good,0,0.00045129872997390846,0.49436980166346767
0,Male,BCA,0.9893333333333332,0.7558139534883721,88.2,67.5,60.0,0 - 30 minute,Morning,6.0,1,75%,1.30 - 2 hour,,,Bad,0,0.0006893043743304919,0.605886116442738
0,Male,BCA,0.7759999999999999,0.7441860465116279,60.0,65.0,70.0,0 - 30 minute,Anytime,6.0,1,75%,30 - 60 Minute,,,good,0,0.0013543617369564571,0.4734484964811261
0,Male,BCA,0.504,0.34883720930232565,75.0,70.0,60.0,1 - 2 Hour,Morning,6.0,1,75%,1 - 1.30 hour,,,Bad,0,0.002014317788055643,0.5374280230326294
0,Female,BCA,0.7866666666666666,0.36046511627906974,60.0,55.0,65.0,2 - 3 hour,Night,6.0,1,75%,1 - 1.30 hour,,,Bad,0,0.0006183202347855459,0.3774792066538708
1,Female,BCA,0.8186666666666667,0.5116279069767442,59.0,54.0,80.0,30 - 60 minute,Morning,6.0,1,75%,1 - 30 Minute,,,good,0,0.0007901756218767219,0.46065259117082524
0,Male,BCA,0.8293333333333333,0.37209302325581395,50.0,55.0,50.0,0 - 30 minute,Anytime,6.0,1,75%,30 - 60 Minute,,,Awful,0,0.0005333480442126252,0.2175303902751119
1,Male,BCA,0.8293333333333333,0.7325581395348837,89.5,69.7,70.0,30 - 60 minute,Anytime,6.0,1,75%,1 - 30 Minute,,,good,0,0.001117453563071073,0.6922584772872677
1,Male,BCA,0.8079999999999999,0.5581395348837209,54.0,48.0,60.0,30 - 60 minute,Anytime,6.0,1,75%,1 - 1.30 hour,,,Bad,0,0.0009013700745883707,0.2623160588611644
1,Male,BCA,0.7919999999999999,0.37209302325581395,83.0,76.0,75.0,1 - 2 Hour,Anytime,6.0,1,75%,1.30 - 2 hour,,,good,1,0.0006250529302222532,0.7229686500319896
1,Male,BCA,0.84,0.4651162790697675,62.0,61.3,53.0,0 - 30 minute,Night,1.0,1,100%,1 - 1.30 hour,,,Bad,0,0.0006563430202030554,0.3538067818298145
0,Male,BCA,0.7759999999999999,0.4651162790697675,60.0,65.0,60.0,0 - 30 minute,Anytime,6.0,1,100%,1 - 30 Minute,,,Bad,0,0.0008398464240007143,0.40946896992962234
1,Female,BCA,0.5573333333333333,0.2558139534883721,60.0,70.0,88.0,30 - 60 minute,Anytime,6.0,1,100%,1 - 30 Minute,,,good,0,0.0012587210443663751,0.6206014075495843
1,Male,BCA,0.8293333333333333,0.34883720930232565,65.0,65.0,50.0,30 - 60 minute,Anytime,6.0,1,75%,30 - 60 Minute,,,Bad,1,0.0004956638171894996,0.3774792066538708
0,Male,BCA,0.7973333333333333,0.36046511627906974,65.0,70.0,50.0,1 - 2 Hour,Morning,6.0,1,50%,1 - 30 Minute,,,Bad,0,0.0005908436619645556,0.40946896992962234
0,Female,BCA,0.7333333333333333,0.2558139534883721,78.0,60.0,60.0,1 - 2 Hour,Anytime,6.0,1,75%,1 - 1.30 hour,,,good,0,0.0005582715143366286,0.492642354446577
0,Male,BCA,0.9359999999999999,0.8139534883720931,75.0,73.8,65.0,1 - 2 Hour,Morning,6.0,1,50%,1 - 1.30 hour,,,good,0,0.0008934417691002707,0.5937300063979525
0,Male,BCA,0.8666666666666666,0.7558139534883721,75.0,60.0,80.0,0 - 30 minute,Anytime,6.0,1,50%,1.30 - 2 hour,,,good,0,0.0010236875475119185,0.6014075495841331
0,Male,BCA,0.45599999999999996,0.8023255813953489,60.0,50.0,50.0,30 - 60 minute,Morning,6.0,1,75%,30 - 60 Minute,,,good,1,0.004853542268123058,0.24952015355086377
1,Male,BCA,0.9093333333333333,0.6162790697674418,90.0,90.0,80.0,1 - 2 Hour,Anytime,6.0,1,50%,0 Minute,,,Bad,0,0.0007033423613798031,0.889315419065899
0,Male,BCA,0.7813333333333333,0.5697674418604651,73.0,85.0,55.0,0 - 30 minute,Morning,6.0,1,100%,1 - 1.30 hour,,,good,0,0.0010132620715628774,0.5886116442738323
0,Female,BCA,0.7493333333333333,0.2209302325581395,89.0,77.0,65.0,30 - 60 minute,Night,6.0,1,100%,0 Minute,,,Bad,1,0.0004483008826313024,0.7037747920665387
0,Female,BCA,0.504,0.23255813953488372,94.0,94.0,80.0,30 - 60 minute,Night,6.0,1,75%,1 - 1.30 hour,,,Bad,0,0.001522165858766786,0.9404990403071016
0,Male,BCA,0.7813333333333333,0.37209302325581395,60.0,65.0,65.0,0 - 30 minute,Morning,6.0,1,75%,30 - 60 Minute,,,good,0,0.0006536248714298942,0.4414587332053743
