branch,marks10th,marks12th,gender,board10th,board12th,category,gpa_1,rank,normalized_rank,cgpa,current_back,ever_back,gpa_2,gpa_3,gpa_4,gpa_5,gpa_6,olympiads_qualified,technical_projects,tech_quiz,engg_coaching,ntse_scholarships,miscellany_tech_events,average_gpa,engagement_score,gpa_cgpa_ratio,academic_performance_index,total_backlogs
civil,0.5564102564102562,0.19647355163727953,male,bseb patna,bseb patna,obc,0.007687844502465915,44718.0,0.5979827351203998,0.04166666666666652,1.0,4.0,0.0054512416717141104,0.017008985879332486,0.007499999999999993,0.00981675392670156,0.299047619047619,1,1,1,1,0,1,0.0028266216365037816,0.42857142857142855,0.02068209803278398,0.026624830388313224,5.0
cse,0.7622377622377625,0.37783375314861467,male,cbse,cbse,gen,0.010298810559907168,24222.0,0.22549750113584732,0.06730769230769229,1.0,7.0,0.0054512416717141104,0.016046213093709877,0.009264705882352939,0.012303664921465965,0.31047619047619057,1,1,0,1,0,1,0.0039646121654858535,0.2571428571428571,0.022384063876379673,0.044895489980798946,8.0
cse,0.802797202797203,0.5340050377833754,male,icse,icse,gen,0.023063533507397732,24723.0,0.23460245343025904,0.24358974358974383,1.0,1.0,0.00893397940642035,0.026636713735558412,0.022205882352941173,0.013089005235602094,0.4057142857142857,1,1,1,0,0,1,0.012517895818802527,0.2857142857142857,0.02719674692062178,0.17100406185019662,2.0
cse,0.27272727272727293,0.07556675062972307,female,cbse,cbse,st,0.009428488540760088,67894.0,1.0,0.0641025641025641,1.0,11.0,0.0036341611144760783,0.0133183568677792,0.0049999999999999906,0.0049738219895287955,0.3219047619047619,1,0,1,1,0,1,0.0,0.19999999999999998,0.021511636612430413,0.04000375367329765,12.0
cse,0.6363636363636365,0.4332493702770781,male,cbse,cbse,gen,0.015085581665216133,23252.0,0.2078691503861882,0.07692307692307687,1.0,0.0,0.004542701393095094,0.016046213093709877,0.01617647058823528,0.005628272251308894,0.16761904761904778,1,0,1,1,0,1,0.0008443155537608549,0.19999999999999998,0.027615532467942003,0.049326927685034334,1.0
ece,0.4825174825174827,0.6347607052896727,male,bseb,cbse,gen,0.01624601102407891,23257.0,0.20796001817355747,0.14743589743589758,1.0,4.0,0.01438522107813446,0.023587933247753518,0.01529411764705882,0.0049738219895287955,0.0,1,0,1,0,1,1,0.0013215373884952614,0.17142857142857143,0.024844182954938926,0.09776167562177848,5.0
ece,0.7016317016317017,0.4080604534005039,female,c.b.s.e,c.b.s.e,sc,0.021467943138961415,67894.0,1.0,0.2564102564102566,1.0,0.0,0.011659600242277413,0.022625160462130936,0.017941176470588224,0.019633507853403134,0.4647619047619047,1,1,1,1,0,1,0.014169817554421607,0.34285714285714286,0.02471881489088698,0.18087824556071547,1.0
ece,0.6596736596736597,0.5340050377833754,male,b.s.e.b,b.s.e.b,gen,0.017986655062373083,23010.0,0.20347114947751027,0.24679487179487203,1.0,0.0,0.027710478497880067,0.023587933247753518,0.021323529411764686,0.00654450261780104,0.17904761904761912,1,1,1,1,1,0,0.00994823978561725,0.22857142857142856,0.021366836526778288,0.1714376287766422,1.0
eee,0.2027972027972027,0.10075566750629728,male,bseb,bseb,obc,0.0010153756890049354,67894.0,1.0,0.03525641025641035,1.0,9.0,0.008328285887340997,0.020057766367137353,0.01705882352941175,0.0024869109947644047,0.27428571428571424,1,1,1,1,1,0,0.00407474028119377,0.22857142857142856,0.012812304149244197,0.023102831623108142,10.0
eee,0.6177156177156178,0.15617128463476093,male,cbse,cbse,obc,0.010443864229765024,67894.0,1.0,0.0737179487179489,1.0,0.0,0.008176862507571173,0.011713735558408211,0.019117647058823517,0.006937172774869105,0.1561904761904762,1,1,1,1,0,1,0.0016152123637164367,0.4857142857142857,0.02218765722995862,0.04766611188402863,1.0
