branch,marks_10th,marks_12th,gender,board10th,board12th,category,rank,normalized_rank,cgpa,current_back,ever_back,olympiads_qualified,technical_projects,tech_quiz,engg_coaching,ntse_scholarships,miscellany_tech_events,average_gpa,engagement_score,gpa_cgpa_ratio,academic_performance_index,total_backlogs
civil,0.5564102564102562,0.1964735516372795,male,bseb patna,bseb patna,obc,44718,0.5979827351203998,0.0416666666666665,1,4,1,1,1,1,0,1,0.0028266216365037,0.4285714285714285,0.0206820980327839,0.0266248303883132,5
cse,0.7622377622377625,0.3778337531486146,male,cbse,cbse,gen,24222,0.2254975011358473,0.0673076923076922,1,7,1,1,0,1,0,1,0.0039646121654858,0.2571428571428571,0.0223840638763796,0.0448954899807989,8
cse,0.802797202797203,0.5340050377833754,male,icse,icse,gen,24723,0.234602453430259,0.2435897435897438,1,1,1,1,1,0,0,1,0.0125178958188025,0.2857142857142857,0.0271967469206217,0.1710040618501966,2
cse,0.2727272727272729,0.075566750629723,female,cbse,cbse,st,67894,1.0,0.0641025641025641,1,11,1,0,1,1,0,1,0.0,0.1999999999999999,0.0215116366124304,0.0400037536732976,12
cse,0.6363636363636365,0.4332493702770781,male,cbse,cbse,gen,23252,0.2078691503861882,0.0769230769230768,1,0,1,0,1,1,0,1,0.0008443155537608,0.1999999999999999,0.027615532467942,0.0493269276850343,1
ece,0.4825174825174827,0.6347607052896727,male,bseb,cbse,gen,23257,0.2079600181735574,0.1474358974358975,1,4,1,0,1,0,1,1,0.0013215373884952,0.1714285714285714,0.0248441829549389,0.0977616756217784,5
ece,0.7016317016317017,0.4080604534005039,female,c.b.s.e,c.b.s.e,sc,67894,1.0,0.2564102564102566,1,0,1,1,1,1,0,1,0.0141698175544216,0.3428571428571428,0.0247188148908869,0.1808782455607154,1
ece,0.6596736596736597,0.5340050377833754,male,b.s.e.b,b.s.e.b,gen,23010,0.2034711494775102,0.246794871794872,1,0,1,1,1,1,1,0,0.0099482397856172,0.2285714285714285,0.0213668365267782,0.1714376287766422,1
eee,0.2027972027972027,0.1007556675062972,male,bseb,bseb,obc,67894,1.0,0.0352564102564103,1,9,1,1,1,1,1,0,0.0040747402811937,0.2285714285714285,0.0128123041492441,0.0231028316231081,10
eee,0.6177156177156178,0.1561712846347609,male,cbse,cbse,obc,67894,1.0,0.0737179487179489,1,0,1,1,1,1,0,1,0.0016152123637164,0.4857142857142857,0.0221876572299586,0.0476661118840286,1
eee,0.8368298368298368,0.5894206549118388,male,c.b.s.e,c.b.s.e,gen,29445,0.3204179918218992,0.1089743589743592,1,1,1,1,1,1,0,1,0.0045152527440255,0.6571428571428571,0.0210436232619495,0.0736993132688419,2
eee,0.8554778554778557,0.2166246851385393,male,cbse,cbse,gen,28051,0.2950840527033167,0.1217948717948715,1,9,1,1,1,1,0,1,0.0069380712896002,0.5714285714285714,0.0223837831803257,0.0840994607827434,10
it,0.407925407925408,0.0811083123425695,female,cbse,cbse,gen,37593,0.4684961381190369,0.2275641025641024,1,13,1,1,1,1,1,1,0.014022980066811,0.7714285714285714,0.0077279946053811,0.1610970455396189,14
mech,0.7296037296037297,0.1813602015113351,male,icse,cbse,gen,40107,0.5141844616083598,0.1923076923076923,1,4,1,1,1,1,1,0,0.0130318270254395,0.4857142857142857,0.0215062038093292,0.1363662307155635,5
mech,0.1235431235431234,0.0856423173803528,male,bseb,bseb,obc,50226,0.6980826896865063,0.0,1,0,1,1,1,1,1,0,0.0054696964134943,0.2571428571428571,0.0178636014114446,0.0,1
mech,0.4825174825174827,0.4433249370277081,male,bseb,bseb,obc,32906,0.3833166742389822,0.3429487179487178,1,2,1,1,0,0,0,1,0.0159318674057486,0.1999999999999999,0.0114022773813431,0.2411234978583751,3
mech,0.5897435897435899,0.4130982367758189,male,i.c.s.e,i.s.c,gen,17835,0.1094229895502044,0.2179487179487182,1,5,1,0,1,1,0,0,0.017033148562828,0.0857142857142857,0.0132554272066791,0.1565904701491862,6
civil,0.4172494172494172,0.3526448362720402,male,bseb patna,bseb patna,gen,40690,0.5247796456156293,0.1538461538461539,0,7,1,1,0,1,0,1,0.0095995007525421,0.3142857142857143,0.0185703442626594,0.1077830842430733,7
civil,0.205128205128205,0.256926952141058,male,up board,up board,obc,35787,0.4356746933212176,0.3397435897435901,0,5,1,0,1,1,0,0,0.0218053669101721,0.0857142857142857,0.012169361860209,0.2429440615178569,5
civil,0.6909090909090911,0.4282115869017633,male,isce,cbse,obc,41598,0.5412812358019082,0.3846153846153848,0,0,1,1,1,1,1,1,0.0238243823648177,0.6,0.0198305283852282,0.274936500226256,0
civil,0.5531468531468533,0.4836272040302267,male,bihar board,cbse,gen,22373,0.1918945933666515,0.246794871794872,0,4,0,0,0,0,0,0,0.0163723798685804,0.0,0.0137774060776999,0.1758206604715003,4
civil,0.3999999999999999,0.1730478589420656,male,bseb,bseb,sc,67894,1.0,0.4166666666666667,0,0,1,1,1,1,1,0,0.0259902353070738,0.3714285714285714,0.0121487286568604,0.2982820040986966,0
civil,0.8135198135198136,0.3778337531486146,male,c.b.s.e.,c.b.s.e,obc,59417,0.8651158564288961,0.262820512820513,0,0,0,0,0,0,0,1,0.0190154546455709,0.1428571428571428,0.0091462291195854,0.1885578629621861,0
civil,0.7482517482517483,0.0831234256926953,male,cbse,cbse,obc,37323,0.4635892776010905,0.1762820512820513,0,5,0,0,0,0,0,1,0.0108659740831834,0.1428571428571428,0.0172069824498564,0.1239546248650672,5
civil,0.3100233100233101,0.1057934508816123,male,bseb patna,bseb patna,sc,67894,1.0,0.2403846153846152,0,8,1,0,1,0,1,0,0.0173268235380492,0.0571428571428571,0.0063203141214946,0.1720982945431013,8
civil,0.7202797202797202,0.5440806045340052,male,cbse,cbse,gen,25038,0.2403271240345297,0.5224358974358971,0,1,1,1,1,1,0,1,0.0327814691090635,0.4857142857142857,0.0110318640461226,0.3750792216923782,1
civil,0.7995337995337994,0.6221662468513853,male,icse,isc,obc,58606,0.8503771013175829,0.2916666666666667,0,2,1,1,1,1,0,1,0.0166293454718989,0.5714285714285714,0.0228388640278836,0.2066108962007384,2
