student_key,student_id_perf,gender,department,career_path
1,1,Male,BCA,Unknown
2,2,Female,BCA,Unknown
3,5,Male,BCA,Unknown
4,6,Female,BCA,Unknown
5,1108,Male,BCA,Unknown
6,1141,Female,BCA,Unknown
7,1142,Male,BCA,Unknown
8,1143,Male,BCA,Unknown
9,1145,Male,BCA,Unknown
10,1146,Male,BCA,Unknown
11,1147,Male,BCA,Unknown
12,1148,Female,BCA,Unknown
13,1149,Female,BCA,Unknown
14,1150,Male,BCA,Unknown
15,1152,Male,BCA,Unknown
16,1153,Male,BCA,Unknown
17,1156,Male,BCA,Unknown
18,1157,Male,BCA,Unknown
19,1159,Male,BCA,Unknown
20,1160,Female,BCA,Unknown
21,1352,Male,BCA,Unknown
22,1353,Male,BCA,Unknown
23,1354,Female,BCA,Unknown
24,1366,Male,BCA,Unknown
25,1368,Male,BCA,Unknown
26,1568,Male,BCA,Unknown
27,1776,Male,BCA,Unknown
28,1981,Male,BCA,Unknown
29,2118,Female,BCA,Unknown
30,2132,Female,BCA,Unknown
31,2189,Male,BCA,Unknown
32,2191,Male,BCA,Unknown
33,2197,Male,BCA,Unknown
34,2200,Male,BCA,Unknown
35,2201,Male,BCA,Unknown
36,2207,Male,BCA,Unknown
37,2208,Female,BCA,Unknown
38,2219,Female,BCA,Unknown
39,2222,Male,BCA,Unknown
40,2224,Male,BCA,Unknown
41,2225,Female,BCA,Unknown
42,2234,Female,BCA,Unknown
43,2235,Female,Commerce,Unknown
44,2248,Male,Commerce,Unknown
45,2249,Male,Commerce,Unknown
46,2250,Female,B.com Accounting and Finance,Unknown
47,2251,Male,B.com Accounting and Finance,Unknown
48,2257,Male,B.com Accounting and Finance,Unknown
49,2644,Male,B.com Accounting and Finance,Unknown
50,3039,Male,B.com Accounting and Finance,Unknown
51,3043,Male,B.com Accounting and Finance,Unknown
52,3049,Female,B.com Accounting and Finance,Unknown
53,3052,Male,B.com Accounting and Finance,Unknown
54,3056,Female,Commerce,Unknown
55,3058,Female,Commerce,Unknown
56,3093,Male,Commerce,Unknown
57,3365,Female,Commerce,Unknown
58,3704,Female,Commerce,Unknown
59,3920,Female,Commerce,Unknown
60,3928,Male,B.com Accounting and Finance,Unknown
61,3945,Female,Commerce,Unknown
62,3953,Female,Commerce,Unknown
63,3955,Male,Commerce,Unknown
64,3957,Male,BCA,Unknown
65,3962,Male,BCA,Unknown
66,3968,Male,BCA,Unknown
67,3973,Female,BCA,Unknown
68,3976,Male,BCA,Unknown
69,3977,Male,BCA,Unknown
70,3980,Male,BCA,Unknown
71,3984,Male,BCA,Unknown
72,3993,Female,BCA,Unknown
73,4001,Female,BCA,Unknown
74,4002,Male,BCA,Unknown
75,4014,Male,BCA,Unknown
76,4019,Male,BCA,Unknown
77,4020,Female,BCA,Unknown
78,4034,Male,BCA,Unknown
79,4036,Male,BCA,Unknown
80,4258,Male,BCA,Unknown
81,4263,Female,BCA,Unknown
82,4264,Female,BCA,Unknown
83,4269,Male,BCA,Unknown
84,4270,Male,BCA,Unknown
85,4271,Male,BCA,Unknown
86,4274,Male,BCA,Unknown
87,4280,Female,BCA,Unknown
88,4281,Female,BCA,Unknown
89,4288,Male,BCA,Unknown
90,4316,Male,BCA,Unknown
91,4335,Female,BCA,Unknown
92,4337,Male,BCA,Unknown
93,4340,Male,BCA,Unknown
94,4342,Male,BCA,Unknown
95,4343,Male,BCA,Unknown
96,4346,Male,BCA,Unknown
97,4349,Female,BCA,Unknown
98,4350,Male,BCA,Unknown
99,4352,Male,BCA,Unknown
100,4356,Male,BCA,Unknown
101,4432,Female,BCA,Unknown
102,4442,Female,BCA,Unknown
103,4488,Female,BCA,Unknown
104,4521,Male,BCA,Unknown
105,4688,Male,BCA,Unknown
106,5071,Male,BCA,Unknown
107,5072,Male,BCA,Unknown
108,5073,Male,BCA,Unknown
109,5075,Male,BCA,Unknown
110,5077,Male,BCA,Unknown
111,5079,Male,BCA,Unknown
112,5081,Female,BCA,Unknown
113,5085,Male,BCA,Unknown
114,5086,Male,BCA,Unknown
115,5087,Male,BCA,Unknown
116,5090,Male,BCA,Unknown
117,5091,Male,BCA,Unknown
118,5092,Male,BCA,Unknown
119,5093,Male,BCA,Unknown
120,5094,Male,BCA,Unknown
