subject_key,subject,avg_theory_gp,avg_practical,student_count,fail_rate,difficulty_score
1,WAVES AND OPTICS LAB,0.0,33.7,20,0.0,50.0
2,BIOTECHNOLOGY PRACTICALS-II,0.0,101.76571428571428,129,0.0,50.0
3,MICROBIOLOGY PRACTICALS-III,0.0,101.05,86,0.0,50.0
4,MICROBIOLOGY PRACTICALS-II,0.0,100.52,87,0.0,50.0
5,MICROBIOLOGY PRACTICALS-I,0.0,102.97,90,0.0,50.0
6,COMMUNICATION AND SOFT SKILLS,0.0,51.0,1,0.0,50.0
7,MATHEMATICAL PHYSICS-III LAB,0.0,32.666666666666664,16,0.0,50.0
8,MATHEMATICAL PHYSICS-II LAB,0.0,30.6,20,0.0,50.0
9,MATHEMATICAL PHYSICS-I LAB,0.0,34.041666666666664,24,0.0,50.0
10,CONTRIBUTOR PERSONALITY DEVELOPMENT,0.0,69.0627802690583,165,0.0,50.0
11,CONTRIBUTORY PERSONALITY DEVELOPMENT,0.0,74.0,1,0.0,50.0
12,MATERIAL SCIENCE,0.0,74.0,1,0.0,50.0
13,"CREATIVITY, PROBLEM SOLVING AND INNOVATION",0.0,73.515625,108,0.0,50.0
14,LIBERAL ARTS - SCULPTING,0.0,75.44,25,0.0,50.0
15,LIBERAL ARTS - POTTERY AND CERAMIC ART,0.0,72.73076923076923,25,0.0,50.0
16,LIBERAL ARTS - PHOTOGRAPHY,0.0,76.60759493670886,127,0.0,50.0
17,DIGITAL SYSTEMS AND APPLICATIONS LAB,0.0,35.421052631578945,19,0.0,50.0
18,LIBERAL ARTS - PAINTING,0.0,76.90697674418605,76,0.0,50.0
19,ELECTRICITY AND MAGNETISM LAB,0.0,31.9,19,0.0,50.0
20,ELECTROMAGNETIC THEORY LAB,0.0,39.642857142857146,14,0.0,50.0
21,LIBERAL ARTS - MEDIA AND GRAPHIC DESIGN,0.0,70.89285714285714,50,0.0,50.0
22,LIBERAL ARTS - ARTS AND CRAFT,0.0,80.68,25,0.0,50.0
23,ELEMENTS OF MODERN PHYSICS LAB,0.0,33.05555555555556,18,0.0,50.0
24,LABORATORY-III,0.0,102.69018404907976,207,0.0,50.0
25,LABORATORY-II,0.0,104.09850746268656,237,0.0,50.0
26,LABORATORY-I,0.0,95.95,245,0.0,50.0
27,INTRODUCTION TO WEB DESIGNING,0.0,62.55,20,0.0,50.0
28,INTRODUCTION TO MATLAB PROGRAMMING,0.0,76.0,2,0.0,50.0
29,HEALTH CARE MANAGEMENT,0.0,56.66666666666666,3,0.0,50.0
30,BIOTECHNOLOGY PRACTICALS-III,0.0,109.92571428571428,140,0.0,50.0
31,MECHANICS LAB,0.0,30.954545454545453,22,0.0,50.0
32,BIOTECHNOLOGY PRACTICALS-I,0.0,103.8693181818182,135,0.0,50.0
33,PROFESSIONAL COMMUNICATION,0.0,67.8422619047619,218,0.0,50.0
34,QUANTUM MECHANICS LAB,0.0,35.333333333333336,14,0.0,50.0
35,PROJECT,0.0,74.53658536585365,111,0.0,50.0
36,SOLID STATE PHYSICS LAB,0.0,34.333333333333336,14,0.0,50.0
37,STATISTICAL MECHANICS LAB,0.0,37.57142857142857,13,0.0,50.0
38,BIOCHEMISTRY PRACTICALS-I,0.0,112.51063829787236,43,0.0,50.0
39,BIOCHEMISTRY PRACTICALS-II,0.0,107.1063829787234,46,0.0,50.0
40,BIOCHEMISTRY PRACTICALS-III,0.0,110.41666666666669,47,0.0,50.0
41,MINOR PROJECT,0.0,69.57142857142857,7,0.0,50.0
42,RESEARCH PROJECT,0.0,162.66666666666666,6,0.0,50.0
43,BANKING & INSURANCE,0.0,71.83333333333333,6,0.0,50.0
44,THERMAL PHYSICS LAB,0.0,38.05263157894737,16,0.0,50.0
45,ANALOG SYSTEMS AND APPLICATIONS LAB,0.0,34.27777777777778,17,0.0,50.0
46,CLINICAL TRAINING,0.3860589812332439,72.21313672922253,261,0.0,48.06970509383378
47,BASICS OF ENVIRONMENTAL IMPACT ASSESSMENT,9.25,0.0,20,0.75,41.25
48,MATHEMATICAL PHYSICS-I,3.108108108108108,0.0,37,0.081081081081081,38.51351351351352
49,STATISTICS-I,3.8461538461538463,26.07692307692308,12,0.1538461538461538,38.46153846153846
50,ELEMENTS OF MODERN PHYSICS,2.6,0.0,26,0.0,37.0
51,NUMERICAL ANALYSIS,9.333333333333334,0.0,6,0.6666666666666666,36.66666666666666
52,THREE DIMENSIONAL GEOMETRY,4.647058823529412,36.0,17,0.1764705882352941,35.58823529411765
53,STATISTICS-II,3.0,28.0,9,0.0,35.0
54,MECHANICS,4.777777777777778,0.0,27,0.1481481481481481,33.51851851851852
55,HUMAN ANATOMY I,3.602272727272727,59.89772727272727,86,0.0170454545454545,32.84090909090909
56,ANALOG SYSTEMS AND APPLICATIONS,4.047619047619048,0.0,20,0.0476190476190476,32.142857142857146
57,ENVIRONMENTAL SCIENCES,3.576923076923077,0.0,26,0.0,32.11538461538461
58,MATHEMATICAL PHYSICS-II,4.333333333333333,0.0,26,0.074074074074074,32.03703703703704
59,FUNDAMENTALS OF BIOMEDICAL PHYSICS,3.947058823529412,33.01176470588236,89,0.0117647058823529,30.852941176470587
60,HUMAN ANATOMY II,3.9627329192546585,62.11180124223603,85,0.0062111801242236,30.496894409937884
61,STATISTICS-III,4.0,28.666666666666668,3,0.0,30.0
62,HUMAN PHYSIOLOGY I,4.660377358490566,63.710691823899374,97,0.0628930817610062,29.842767295597483
63,THERMAL PHYSICS,4.84,0.0,23,0.08,29.8
64,EXERCISE THERAPY I,4.173913043478261,54.67701863354037,90,0.0124223602484472,29.751552795031056
65,PHARMACOLOGY,4.319148936170213,0.0,88,0.0212765957446808,29.468085106382976
66,MATHEMATICAL PHYSICS-III,4.291666666666667,0.0,21,0.0,28.541666666666664
67,BIOCHEMISTRY,4.788732394366197,30.816901408450704,80,0.0422535211267605,28.16901408450704
68,CLINICAL ORTHOPAEDICS,4.460992907801418,0.0,83,0.0070921985815602,28.049645390070925
69,SOLID STATE PHYSICS,5.066666666666666,0.0,14,0.0666666666666666,28.000000000000004
70,BASIC GENETICS,5.95273631840796,0.0,265,0.1492537313432835,27.69900497512437
71,GENERAL MEDICINE,4.641221374045801,0.0,87,0.015267175572519,27.55725190839695
72,ENGINEERING DRAWING,6.631578947368421,0.0,18,0.2105263157894736,27.36842105263157
73,CONCEPTS OF PHYSICAL CHEMISTRY,5.821882951653944,0.0,261,0.1272264631043257,27.25190839694657
74,ELECTRICITY AND MAGNETISM,6.0,0.0,20,0.1428571428571428,27.142857142857142
75,ANIMAL SCIENCES,5.821078431372549,0.0,282,0.1225490196078431,27.02205882352941
76,MOLECULAR BASIS OF LIFE,5.725641025641026,0.0,273,0.1128205128205128,27.01282051282051
77,CLINICAL NEUROLOGY & PSYCHIATRY,5.2384615384615385,0.0,84,0.0615384615384615,26.884615384615383
78,EVOLUTION AND BEHAVIOUR,6.059523809523809,0.0,79,0.1428571428571428,26.8452380952381
79,MICROBIOLOGY,4.785714285714286,0.0,89,0.0142857142857142,26.78571428571429
