student_key,semester_key,student_id_perf,semester_no,sgpa
1,1,1,1,0.0
2,1,2,1,0.0
3,1,5,1,0.0
4,1,6,1,0.0
5,1,1108,1,4.9
6,1,1141,1,0.0
7,1,1142,1,3.15
8,1,1143,1,0.0
9,1,1145,1,0.0
10,1,1146,1,0.0
11,1,1147,1,3.12
12,1,1148,1,0.0
13,1,1149,1,2.56
14,1,1150,1,0.0
15,1,1152,1,0.0
16,1,1153,1,4.14
17,1,1156,1,0.0
18,1,1157,1,0.0
19,1,1159,1,0.0
20,1,1160,1,0.0
21,1,1352,1,0.0
22,1,1353,1,2.87
23,1,1354,1,0.0
24,1,1366,1,0.0
25,1,1368,1,0.0
26,1,1568,1,0.0
27,1,1776,1,0.0
28,1,1981,1,0.0
29,1,2118,1,0.0
30,1,2132,1,7.55
31,1,2189,1,0.0
32,1,2191,1,0.0
33,1,2197,1,0.0
34,1,2200,1,0.0
35,1,2201,1,0.0
36,1,2207,1,0.0
37,1,2208,1,0.0
38,1,2219,1,5.15
39,1,2222,1,0.0
40,1,2224,1,0.0
41,1,2225,1,0.0
42,1,2234,1,0.0
43,1,2235,1,0.0
44,1,2248,1,0.0
45,1,2249,1,0.0
46,1,2250,1,0.0
47,1,2251,1,0.0
48,1,2257,1,6.89
49,1,2644,1,5.34
50,1,3039,1,0.0
51,1,3043,1,0.0
52,1,3049,1,0.0
53,1,3052,1,0.0
54,1,3056,1,0.0
55,1,3058,1,0.0
56,1,3093,1,7.51
57,1,3365,1,6.0
58,1,3704,1,6.0
59,1,3920,1,6.03
60,1,3928,1,6.0
61,1,3945,1,6.0
62,1,3953,1,5.18
63,1,3955,1,6.0
64,1,3957,1,6.0
65,1,3962,1,6.0
66,1,3968,1,6.0
67,1,3973,1,6.0
68,1,3976,1,6.0
69,1,3977,1,6.0
70,1,3980,1,6.0
71,1,3984,1,6.0
72,1,3993,1,5.82
73,1,4001,1,6.0
74,1,4002,1,6.0
75,1,4014,1,6.0
76,1,4019,1,6.29
77,1,4020,1,6.0
78,1,4034,1,6.0
79,1,4036,1,6.0
80,1,4258,1,4.45
81,1,4263,1,6.0
82,1,4264,1,6.0
83,1,4269,1,6.0
