student_id_perf,latest_cgpa,mean_cgpa,min_cgpa,max_cgpa,mean_sgpa,total_backlogs,semesters_attended,theory_gp_mean,practical_marks_mean,th_attendance_rate,pr_attendance_rate,sgpa_sem_1,sgpa_sem_2,sgpa_sem_3,sgpa_sem_4,sgpa_sem_5,sgpa_sem_6,sgpa_sem_7,sgpa_sem_8,certification_course,gender_x,department,height_cm,weight_kg,10th_mark,12th_mark,college_mark,hobbies,daily_studing_time,prefer_to_study_in,salary_expectation,do_you_like_your_degree,willingness_to_pursue_a_career_based_on_their_degree,social_medai_video,travelling_time,stress_level,financial_status,part_time_job,student_id_research,gender_y,branch,current_back,ever_back,olympiads_qualified,technical_projects,tech_quiz,engg_coaching,ntse_scholarships,miscellany_tech_events,study_hours_day,stress_numeric,travel_mins,social_hours,average_marks,academic_risk_score,study_efficiency,at_risk_student,cgpa_band
1,6.45,3.5892,0.0,8.74,3.4212,12.0,8,4.7,31.6,0.88,0.62,0.0,6.9,0.0,0.0,6.0,3.42,6.0,8.64,No,Male,BCA,100.0,58.0,79.0,64.5,80.0,Video Games,0 - 30 minute,Morning,40000.0,No,50%,1.30 - 2 hour,30 - 60 minutes,Bad,Bad,No,,,,,,,,,,,,0.25,2.0,45.0,1.75,74.5,59.49,14.36,True,Fail
2,6.45,3.5828,0.0,8.09,3.4176,12.0,8,4.54,32.56,0.86,0.6,0.0,0.0,8.2,0.0,6.0,6.0,6.0,6.0,No,Female,BCA,90.0,40.0,70.0,80.0,70.0,Cinema,30 - 60 minute,Morning,15000.0,Yes,75%,1 - 1.30 hour,0 - 30 minutes,Bad,Bad,No,,,,,,,,,,,,0.75,2.0,15.0,1.25,73.33333333333333,59.53,4.78,True,Fail
5,6.45,3.692352941176471,0.0,8.45,3.476078431372549,8.0,8,4.647058823529412,31.58823529411765,0.9411764705882352,0.6666666666666666,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,Yes,Male,BCA,159.0,78.0,70.25,61.0,55.0,Cinema,1 - 2 Hour,Anytime,13000.0,Yes,50%,More than 2 hour,30 - 60 minutes,Awful,Bad,No,,,,,,,,,,,,1.5,3.0,45.0,2.5,62.083333333333336,57.9,2.46,True,Fail
6,6.45,3.7092,0.0,9.18,3.447,8.0,8,4.36,32.56,0.88,0.6,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,Yes,Female,BCA,147.0,20.0,70.0,59.0,58.0,Reading books,1 - 2 Hour,Anytime,1500000.0,No,50%,1.30 - 2 hour,0 - 30 minutes,Bad,good,No,,,,,,,,,,,,1.5,2.0,15.0,1.75,62.333333333333336,52.8,2.47,True,Fail
1108,6.45,3.5166000000000004,0.0,6.45,3.3646,4.0,8,4.98,39.6,0.88,0.66,4.9,0.0,0.0,0.0,6.0,5.62,6.0,6.0,No,Male,BCA,170.0,54.0,40.0,65.0,30.0,Video Games,30 - 60 minute,Morning,50000.0,Yes,25%,1.30 - 2 hour,30 - 60 minutes,Good,good,No,,,,,,,,,,,,0.75,1.0,45.0,1.75,45.0,36.91,4.69,True,Fail
1141,6.45,3.276862745098039,0.0,7.85,3.1135294117647057,6.0,8,4.901960784313726,28.764705882352946,0.9411764705882352,0.5490196078431373,0.0,0.0,0.0,0.0,6.0,6.0,5.79,6.0,Yes,Female,BCA,139.0,33.0,90.0,75.0,70.0,Cinema,30 - 60 minute,Night,20000.0,Yes,50%,30 - 60 Minute,0 - 30 minutes,Bad,good,No,,,,,,,,,,,,0.75,2.0,15.0,1.0,78.33333333333333,49.28,4.37,True,Fail
1142,6.45,3.5338,0.0,8.66,3.2896,4.0,8,4.68,36.94,0.9,0.68,3.15,0.0,6.68,0.0,6.25,4.24,6.0,8.68,Yes,Male,BCA,165.0,50.0,70.0,63.0,3.0,Reading books,1 - 2 Hour,Morning,15000.0,Yes,75%,1 - 1.30 hour,1 - 1.30 hour,Good,good,No,,,,,,,,,,,,1.5,1.0,75.0,1.25,45.333333333333336,36.81,2.36,True,Fail
1143,9.18,3.6504,0.0,9.18,3.4432,7.0,8,5.1,27.96,0.9,0.54,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,No,Male,BCA,152.0,43.0,61.6,61.67,75.0,Sports,1 - 2 Hour,Morning,25000.0,Yes,50%,1 - 1.30 hour,1 - 1.30 hour,Good,good,No,,,,,,,,,,,,1.5,1.0,75.0,1.25,66.09,45.14,2.43,True,Fail
1145,6.45,3.283137254901961,0.0,8.86,3.1107843137254902,7.0,8,5.313725490196078,30.7843137254902,1.0,0.6470588235294118,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,No,Male,BCA,190.0,85.0,88.2,67.5,60.0,Video Games,0 - 30 minute,Morning,20000.0,Yes,75%,1.30 - 2 hour,1 - 1.30 hour,Bad,Bad,No,,,,,,,,,,,,0.25,2.0,75.0,1.75,71.89999999999999,52.24,13.13,True,Fail
1146,6.45,3.6162,0.0,8.69,3.4966000000000004,5.0,8,5.3,39.14,0.94,0.72,0.0,5.72,0.0,6.15,6.0,4.0,6.0,6.0,No,Male,BCA,150.0,84.0,60.0,65.0,70.0,Video Games,0 - 30 minute,Anytime,20000.0,Yes,75%,30 - 60 Minute,30 - 60 minutes,Good,good,No,,,,,,,,,,,,0.25,1.0,45.0,1.0,65.0,39.34,14.46,True,Fail
