subject,avg_theory_gp,avg_practical,student_count,fail_rate,difficulty_score
WAVES AND OPTICS LAB,0.0,33.7,20,0.0,50.0
BIOTECHNOLOGY PRACTICALS-II,0.0,101.76571428571428,129,0.0,50.0
MICROBIOLOGY PRACTICALS-III,0.0,101.05,86,0.0,50.0
MICROBIOLOGY PRACTICALS-II,0.0,100.52,87,0.0,50.0
MICROBIOLOGY PRACTICALS-I,0.0,102.97,90,0.0,50.0
COMMUNICATION AND SOFT SKILLS,0.0,51.0,1,0.0,50.0
MATHEMATICAL PHYSICS-III LAB,0.0,32.666666666666664,16,0.0,50.0
MATHEMATICAL PHYSICS-II LAB,0.0,30.6,20,0.0,50.0
MATHEMATICAL PHYSICS-I LAB,0.0,34.041666666666664,24,0.0,50.0
CONTRIBUTOR PERSONALITY DEVELOPMENT,0.0,69.0627802690583,165,0.0,50.0
CONTRIBUTORY PERSONALITY DEVELOPMENT,0.0,74.0,1,0.0,50.0
MATERIAL SCIENCE,0.0,74.0,1,0.0,50.0
"CREATIVITY, PROBLEM SOLVING AND INNOVATION",0.0,73.515625,108,0.0,50.0
LIBERAL ARTS - SCULPTING,0.0,75.44,25,0.0,50.0
LIBERAL ARTS - POTTERY AND CERAMIC ART,0.0,72.73076923076923,25,0.0,50.0
LIBERAL ARTS - PHOTOGRAPHY,0.0,76.60759493670886,127,0.0,50.0
DIGITAL SYSTEMS AND APPLICATIONS LAB,0.0,35.421052631578945,19,0.0,50.0
LIBERAL ARTS - PAINTING,0.0,76.90697674418605,76,0.0,50.0
ELECTRICITY AND MAGNETISM LAB,0.0,31.9,19,0.0,50.0
ELECTROMAGNETIC THEORY LAB,0.0,39.642857142857146,14,0.0,50.0
LIBERAL ARTS - MEDIA AND GRAPHIC DESIGN,0.0,70.89285714285714,50,0.0,50.0
LIBERAL ARTS - ARTS AND CRAFT,0.0,80.68,25,0.0,50.0
ELEMENTS OF MODERN PHYSICS LAB,0.0,33.05555555555556,18,0.0,50.0
LABORATORY-III,0.0,102.69018404907976,207,0.0,50.0
LABORATORY-II,0.0,104.09850746268657,237,0.0,50.0
LABORATORY-I,0.0,95.95,245,0.0,50.0
INTRODUCTION TO WEB DESIGNING,0.0,62.55,20,0.0,50.0
INTRODUCTION TO MATLAB PROGRAMMING,0.0,76.0,2,0.0,50.0
HEALTH CARE MANAGEMENT,0.0,56.666666666666664,3,0.0,50.0
BIOTECHNOLOGY PRACTICALS-III,0.0,109.92571428571429,140,0.0,50.0
MECHANICS LAB,0.0,30.954545454545453,22,0.0,50.0
BIOTECHNOLOGY PRACTICALS-I,0.0,103.86931818181819,135,0.0,50.0
PROFESSIONAL COMMUNICATION,0.0,67.8422619047619,218,0.0,50.0
QUANTUM MECHANICS LAB,0.0,35.333333333333336,14,0.0,50.0
PROJECT,0.0,74.53658536585365,111,0.0,50.0
SOLID STATE PHYSICS LAB,0.0,34.333333333333336,14,0.0,50.0
STATISTICAL MECHANICS LAB,0.0,37.57142857142857,13,0.0,50.0
BIOCHEMISTRY PRACTICALS-I,0.0,112.51063829787235,43,0.0,50.0
BIOCHEMISTRY PRACTICALS-II,0.0,107.1063829787234,46,0.0,50.0
BIOCHEMISTRY PRACTICALS-III,0.0,110.41666666666667,47,0.0,50.0
MINOR PROJECT,0.0,69.57142857142857,7,0.0,50.0
RESEARCH PROJECT,0.0,162.66666666666666,6,0.0,50.0
BANKING & INSURANCE,0.0,71.83333333333333,6,0.0,50.0
THERMAL PHYSICS LAB,0.0,38.05263157894737,16,0.0,50.0
ANALOG SYSTEMS AND APPLICATIONS LAB,0.0,34.27777777777778,17,0.0,50.0
CLINICAL TRAINING,0.38605898123324395,72.21313672922253,261,0.0,48.06970509383378
BASICS OF ENVIRONMENTAL IMPACT ASSESSMENT,9.25,0.0,20,0.75,41.25
MATHEMATICAL PHYSICS-I,3.108108108108108,0.0,37,0.08108108108108109,38.513513513513516
STATISTICS-I,3.8461538461538463,26.076923076923077,12,0.15384615384615385,38.46153846153846
ELEMENTS OF MODERN PHYSICS,2.6,0.0,26,0.0,37.0
NUMERICAL ANALYSIS,9.333333333333334,0.0,6,0.6666666666666666,36.666666666666664
THREE DIMENSIONAL GEOMETRY,4.647058823529412,36.0,17,0.17647058823529413,35.58823529411765
STATISTICS-II,3.0,28.0,9,0.0,35.0
MECHANICS,4.777777777777778,0.0,27,0.14814814814814814,33.51851851851852
HUMAN ANATOMY I,3.602272727272727,59.89772727272727,86,0.017045454545454544,32.84090909090909
ANALOG SYSTEMS AND APPLICATIONS,4.0476190476190474,0.0,20,0.047619047619047616,32.142857142857146
ENVIRONMENTAL SCIENCES,3.576923076923077,0.0,26,0.0,32.11538461538461
MATHEMATICAL PHYSICS-II,4.333333333333333,0.0,26,0.07407407407407407,32.03703703703704
FUNDAMENTALS OF BIOMEDICAL PHYSICS,3.947058823529412,33.01176470588236,89,0.011764705882352941,30.852941176470587
HUMAN ANATOMY II,3.9627329192546585,62.11180124223603,85,0.006211180124223602,30.496894409937884
STATISTICS-III,4.0,28.666666666666668,3,0.0,30.0
