Branch,Marks[10th],Marks[12th],Gender,Board[10th],Board[12th],Category,GPA 1,Rank,Normalized Rank,CGPA,Current Back,Ever Back,GPA 2,GPA 3,GPA 4,GPA 5,GPA 6,Olympiads Qualified,Technical Projects,Tech Quiz,Engg. Coaching,NTSE Scholarships,Miscellany Tech Events
CIVIL,77.57,64.6,Male,BSEB Patna,BSEB Patna,OBC,6.29,44718.0,15.970714285714285,6.02,1.0,4.0,6.12,5.94,5.41,6.25,6.13,1.0,4.0,3.0,2.0,0.0,5.0
CSE,86.4,71.8,Male,CBSE,CBSE,GEN,6.47,24222.0,8.650714285714285,6.1,1.0,7.0,6.12,5.88,5.53,6.44,6.19,2.0,2.0,0.0,1.0,0.0,4.0
CSE,88.14,78.0,Male,ICSE,ICSE,GEN,7.35,24723.0,8.829642857142858,6.65,1.0,1.0,6.35,6.54,6.41,6.5,6.69,1.0,1.0,3.0,0.0,0.0,5.0
CSE,65.4,59.8,Female,CBSE,CBSE,ST,6.41,232157.0,82.91321428571429,6.09,1.0,11.0,6.0,5.71,5.24,5.88,6.25,2.0,0.0,2.0,2.0,0.0,1.0
CSE,81.0,74.0,Male,CBSE,CBSE,GEN,6.8,23252.0,8.304285714285715,6.13,1.0,0.0,6.06,5.88,6.0,5.93,5.44,2.0,0.0,2.0,2.0,0.0,1.0
ECE,74.4,82.0,Male,BSEB,CBSE,GEN,6.88,23257.0,8.306071428571428,6.35,1.0,4.0,6.71,6.35,5.94,5.88,4.56,2.0,0.0,1.0,0.0,2.0,3.0
ECE,83.8,73.0,Female,C.B.S.E,C.B.S.E,SC,7.24,103217.0,36.863214285714285,6.69,1.0,0.0,6.53,6.29,6.12,7.0,7.0,3.0,2.0,1.0,3.0,0.0,3.0
ECE,82.0,78.0,Male,B.S.E.B,B.S.E.B,GEN,7.0,23010.0,8.217857142857143,6.66,1.0,0.0,7.59,6.35,6.35,6.0,5.5,3.0,2.0,1.0,2.0,1.0,0.0
EEE,62.4,60.8,Male,BSEB,BSEB,OBC,5.83,74086.0,26.459285714285713,6.0,1.0,9.0,6.31,6.13,6.06,5.69,6.0,3.0,2.0,1.0,2.0,1.0,0.0
EEE,80.2,63.0,Male,CBSE,CBSE,OBC,6.48,70752.0,25.268571428571427,6.12,1.0,,6.3,5.61,6.2,6.03,5.38,4.0,2.0,2.0,4.0,0.0,5.0
EEE,89.6,80.2,Male,C.B.S.E,C.B.S.E,GEN,6.53,29445.0,10.51607142857143,6.23,1.0,1.0,6.35,6.36,6.41,5.5,5.69,6.0,3.0,3.0,6.0,0.0,5.0
EEE,90.4,65.4,Male,CBSE,CBSE,GEN,6.65,28051.0,10.018214285714286,6.27,1.0,9.0,6.0,6.59,6.12,5.88,6.38,5.0,1.0,4.0,5.0,0.0,5.0
IT,71.2,60.02,Female,CBSE,CBSE,GEN,6.1,37593.0,13.42607142857143,6.6,1.0,13.0,6.3,6.7,5.5,6.9,7.5,8.0,4.0,4.0,6.0,2.0,5.0
MECH,85.0,64.0,Male,ICSE,CBSE,GEN,6.83,40107.0,14.32392857142857,6.49,1.0,4.0,6.18,6.42,6.53,6.5,7.0,7.0,1.0,6.0,3.0,4.0,0.0
MECH,59.0,60.2,Male,BSEB,BSEB,OBC,6.0,50226.0,17.937857142857144,5.89,1.0,0.0,5.94,6.0,6.0,6.13,6.5,4.0,3.0,1.0,1.0,3.0,0.0
MECH,74.4,74.4,Male,BSEB,BSEB,OBC,6.67,32906.0,11.752142857142857,6.96,1.0,2.0,6.76,6.41,6.18,7.13,6.94,1.0,1.0,0.0,0.0,0.0,5.0
MECH,79.0,73.2,Male,I.C.S.E,I.S.C,GEN,6.41,17835.0,6.369642857142857,6.57,1.0,5.0,6.53,6.54,6.65,7.19,6.81,1.0,0.0,1.0,1.0,0.0,0.0
CIVIL,71.6,70.8,Male,BSEB PATNA,BSEB PATNA,GEN,6.53,40690.0,14.532142857142857,6.37,0.0,7.0,6.12,7.12,6.7,6.13,5.625,2.0,2.0,0.0,2.0,0.0,5.0
CIVIL,62.5,67.0,Male,UP BOARD,UP BOARD,OBC,6.71,35787.0,12.781071428571428,6.95,0.0,5.0,6.94,6.82,6.76,7.31,7.19,1.0,0.0,1.0,1.0,0.0,0.0
CIVIL,83.34,73.8,Male,ISCE,CBSE,OBC,7.35,41598.0,14.856428571428571,7.09,0.0,0.0,7.0,6.94,7.0,7.19,7.44,6.0,3.0,3.0,4.0,2.0,5.0
CIVIL,77.43,76.0,Male,BIHAR BOARD,CBSE,GEN,6.53,22373.0,7.9903571428571425,6.66,0.0,4.0,5.77,6.06,6.59,7.31,7.81,0.0,0.0,0.0,0.0,0.0,0.0
CIVIL,70.86,63.67,Male,BSEB,BSEB,SC,6.94,145034.0,51.79785714285714,7.19,0.0,0.0,6.47,6.65,7.41,7.88,7.75,5.0,2.0,3.0,3.0,2.0,0.0
CIVIL,88.6,71.8,Male,C.B.S.E.,C.B.S.E,OBC,6.29,59417.0,21.220357142857143,6.71,0.0,0.0,6.53,6.24,7.18,7.25,7.06,0.0,0.0,0.0,0.0,0.0,5.0
CIVIL,85.8,60.1,Male,CBSE,CBSE,OBC,6.52,37323.0,13.329642857142858,6.44,0.0,5.0,6.65,6.05,6.65,6.56,6.13,0.0,0.0,0.0,0.0,0.0,5.0
CIVIL,67.0,61.0,Male,BSEB PATNA,BSEB PATNA,SC,6.05,133996.0,47.855714285714285,6.64,0.0,8.0,6.35,6.17,6.65,7.69,6.94,1.0,0.0,1.0,0.0,1.0,0.0
CIVIL,84.6,78.4,Male,CBSE,CBSE,GEN,7.18,25038.0,8.942142857142857,7.52,0.0,1.0,6.94,7.35,7.47,8.31,7.94,4.0,1.0,3.0,4.0,0.0,5.0
CIVIL,88.0,81.5,Male,ICSE,ISC,OBC,7.24,58606.0,20.930714285714284,6.8,0.0,2.0,6.12,6.18,7.24,7.44,6.63,5.0,3.0,2.0,5.0,0.0,5.0
CIVIL,91.67,70.6,Male,C.B.S.E,C.B.S.E,OBC,7.12,35544.0,12.694285714285714,7.13,0.0,0.0,6.47,6.82,6.88,7.5,8.0,5.0,3.0,2.0,5.0,0.0,5.0
CIVIL,84.6,86.0,Female,ICSE,I Sc,GEN,8.06,25134.0,8.976428571428572,7.78,0.0,1.0,6.88,7.53,8.06,8.19,8.0,3.0,1.0,2.0,3.0,0.0,5.0
CIVIL,70.0,71.0,Male,cbse,cbse,GEN,6.71,37300.0,13.321428571428571,6.82,0.0,1.0,7.06,6.18,6.97,6.76,7.31,4.0,3.0,1.0,4.0,0.0,0.0
CIVIL,93.4,63.0,Male,C.B.S.E.,C.B.S.E.,GEN,6.65,36857.0,13.163214285714286,6.73,0.0,2.0,6.41,6.47,6.82,7.06,6.94,0.0,0.0,0.0,0.0,0.0,0.0
CIVIL,74.8,75.6,Male,BSEB,BSEB,GEN,7.94,29807.0,10.645357142857144,8.05,0.0,0.0,7.41,7.18,7.71,9.06,9.12,3.0,2.0,1.0,3.0,0.0,0.0
CIVIL,53.7,56.8,Male,B.S.E.B PATNA,NIOS BOARD,SC,6.41,163359.0,58.3425,6.56,0.0,4.0,6.0,5.82,6.47,7.13,7.38,5.0,0.0,4.0,1.0,4.0,0.0
CIVIL,93.0,80.0,Male,I.C.S.E,C.B.S.E,GEN,6.94,31665.0,11.308928571428572,6.626,0.0,2.0,6.12,6.47,6.35,7.25,6.81,5.0,0.0,4.0,1.0,4.0,0.0
CIVIL,79.17,81.4,Male,ICSE,CBSE,GEN,7.76,55832.0,19.94,8.5,0.0,0.0,7.65,7.88,8.94,9.38,9.38,5.0,0.0,4.0,1.0,4.0,0.0
CSE,81.0,70.0,Male,CBSE,CBSE,GEN,6.82,46717.0,16.684642857142858,6.82,0.0,9.0,6.29,6.41,6.24,7.25,7.63,5.0,0.0,4.0,1.0,4.0,0.0
CSE,92.83,82.4,Male,CBSE,CBSE,OBC,8.35,84799.0,30.285357142857144,8.18,0.0,0.0,8.18,7.88,7.53,8.44,8.75,3.0,2.0,1.0,3.0,0.0,0.0
CSE,83.4,63.0,Male,cbse,cbse,GEN,6.35,18985.0,6.7803571428571425,6.52,0.0,8.0,6.18,6.18,6.23,6.44,6.56,3.0,2.0,1.0,3.0,0.0,0.0
CSE,86.6,77.8,Male,CBSE,BSEB,GEN,6.47,25716.0,9.184285714285714,6.58,0.0,8.0,6.35,6.12,6.24,6.44,7.25,7.0,4.0,3.0,7.0,0.0,0.0
CSE,80.8,64.6,Male,ICSE,CBSE,GEN,6.76,40842.0,14.586428571428572,6.5,0.0,7.0,6.29,6.31,6.76,6.41,6.5,4.0,1.0,3.0,4.0,0.0,0.0
CSE,89.0,83.0,Female,CBSE,CBSE,OBC,8.0,33700.0,12.035714285714286,7.96,0.0,0.0,7.59,7.82,7.47,8.25,8.69,4.0,2.0,2.0,4.0,0.0,0.0
CSE,66.0,61.33,Male,ICSE,BSEB,OBC,8.12,48292.0,17.247142857142858,7.86,0.0,0.0,7.71,7.06,7.53,8.0,8.75,5.0,4.0,1.0,4.0,0.0,0.0
CSE,79.6,83.0,Male,Uttar Pradesh Board,CBSE,GEN,7.24,32024.0,11.437142857142858,6.65,0.0,3.0,7.12,6.55,6.48,6.31,6.19,4.0,3.0,1.0,1.0,3.0,0.0
CSE,91.0,82.0,Male,CBSE,CBSE,GEN,7.12,26102.0,9.322142857142858,6.54,0.0,2.0,6.35,6.0,6.18,6.75,6.81,6.0,3.0,3.0,6.0,0.0,0.0
CSE,93.86,92.83,Male,ICSE,ISC,GEN,8.59,17565.0,6.273214285714285,8.14,0.0,0.0,7.88,7.18,7.65,8.56,9.0,6.0,3.0,3.0,6.0,0.0,0.0
CSE,94.8,90.8,Male,CBSE,CBSE,GEN,7.53,20988.0,7.4957142857142856,7.36,0.0,0.0,7.0,6.71,7.18,8.25,7.5,3.0,1.0,2.0,3.0,0.0,0.0
CSE,96.2,85.6,Male,CBSE,CBSE,GEN,7.24,28856.0,10.305714285714286,7.52,0.0,0.0,7.12,7.41,7.06,8.0,8.31,4.0,4.0,0.0,3.0,1.0,0.0
CSE,75.8,72.33,Female,CBSE,state,ST,6.47,279839.0,99.9425,6.9,0.0,9.0,6.53,7.0,6.06,7.19,7.93,0.0,0.0,0.0,0.0,0.0,0.0
CSE,95.0,79.8,Male,ICSE,CBSE,GEN,8.06,23949.0,8.553214285714287,8.48,0.0,0.0,8.53,8.12,7.65,9.25,9.31,0.0,0.0,0.0,0.0,0.0,0.0
CSE,86.0,90.0,Female,ICSE,CBSE,GEN,7.53,28384.0,10.137142857142857,7.52,0.0,0.0,7.0,7.4,6.9,8.0,8.31,4.0,2.0,2.0,4.0,0.0,0.0
CSE,95.6,80.6,Female,CBSE,CBSE,GEN,8.29,26005.0,9.2875,8.77,0.0,0.0,8.41,8.94,8.41,9.13,9.5,6.0,2.0,4.0,0.0,6.0,0.0
